config,recording_id,segment_id,n_kept,offset_cent,range_compression,contour_correlation
frame2048-hop512,her-1991,seg_p07_m18b6_m19b5,5,-85.169,1.3308,0.4000
frame4096-hop128,ath-1973,seg_p07_m5,6,-40.169,0.7442,0.7000
frame4096-hop128,ath-1973,seg_p07_m8,7,-10.169,1.0583,0.9411
frame4096-hop128,ath-1973,seg_p07_m13,4,-25.169,1.4182,0.8660
frame4096-hop128,ath-1973,seg_p07_m18b6_m19b5,7,-30.169,0.9723,0.9710
frame4096-hop128,hul-2012,seg_p07_m5,6,24.831,0.7840,0.9000
frame4096-hop128,hul-2012,seg_p07_m8,5,-0.169,1.1788,0.9487
frame4096-hop128,hul-2012,seg_p07_m13,4,-60.169,1.0536,0.8660
frame4096-hop128,hul-2012,seg_p07_m18b6_m19b5,7,-60.169,1.4450,0.8827
frame4096-hop128,bou-1961,seg_p07_m5,5,-540.169,0.7714,1.0000
frame4096-hop128,bou-1961,seg_p07_m8,4,-805.169,0.7290,0.8660
frame4096-hop128,bou-1961,seg_p07_m13,4,-400.169,0.9299,0.8660
frame4096-hop128,bou-1961,seg_p07_m18b6_m19b5,6,-930.169,1.3151,0.8208
frame4096-hop128,bou-1977,seg_p07_m5,6,-12.669,0.9929,0.9747
frame4096-hop128,bou-1977,seg_p07_m8,7,9.831,1.0572,0.9411
frame4096-hop128,bou-1977,seg_p07_m13,4,-60.169,1.1312,0.8660
frame4096-hop128,bou-1977,seg_p07_m18b6_m19b5,7,-30.169,1.0461,0.9710
frame4096-hop128,her-1991,seg_p07_m5,5,-360.169,0.8219,1.0000
frame4096-hop128,her-1991,seg_p07_m8,5,-300.169,0.5406,0.9487
frame4096-hop128,her-1991,seg_p07_m13,4,-340.169,0.8234,0.0000
frame4096-hop128,her-1991,seg_p07_m18b6_m19b5,4,-65.169,1.3755,-0.5000
frame4096-hop256,ath-1973,seg_p07_m5,6,-40.169,0.7718,0.7000
frame4096-hop256,ath-1973,seg_p07_m8,7,-10.169,1.0503,0.9411
frame4096-hop256,ath-1973,seg_p07_m13,4,-15.169,1.4110,0.8660
frame4096-hop256,ath-1973,seg_p07_m18b6_m19b5,7,-30.169,0.9643,0.9710
frame4096-hop256,hul-2012,seg_p07_m5,6,24.831,0.7855,0.9000
frame4096-hop256,hul-2012,seg_p07_m8,5,-0.169,1.1788,0.9487
frame4096-hop256,hul-2012,seg_p07_m13,4,-60.169,1.0469,0.8660
frame4096-hop256,hul-2012,seg_p07_m18b6_m19b5,7,-60.169,1.4382,0.8827
frame4096-hop256,bou-1961,seg_p07_m5,5,-540.169,0.7813,1.0000
frame4096-hop256,bou-1961,seg_p07_m8,4,-802.669,0.7358,0.8660
frame4096-hop256,bou-1961,seg_p07_m13,4,-400.169,0.9299,0.8660
frame4096-hop256,bou-1961,seg_p07_m18b6_m19b5,6,-930.169,1.3248,0.8208
frame4096-hop256,bou-1977,seg_p07_m5,6,-15.169,0.9852,1.0000
frame4096-hop256,bou-1977,seg_p07_m8,7,9.831,1.0572,0.9411
frame4096-hop256,bou-1977,seg_p07_m13,4,-60.169,1.1312,0.8660
frame4096-hop256,bou-1977,seg_p07_m18b6_m19b5,7,-35.169,1.0396,0.9710
frame4096-hop256,her-1991,seg_p07_m5,5,-360.169,0.8219,1.0000
frame4096-hop256,her-1991,seg_p07_m8,5,-300.169,0.5406,0.9487
frame4096-hop256,her-1991,seg_p07_m13,4,-340.169,0.8234,0.0000
frame4096-hop256,her-1991,seg_p07_m18b6_m19b5,4,-65.169,1.3755,-0.5000
frame4096-hop512,ath-1973,seg_p07_m5,6,-37.669,0.7543,0.8208
frame4096-hop512,ath-1973,seg_p07_m8,7,-10.169,1.0519,0.9411
frame4096-hop512,ath-1973,seg_p07_m13,4,-15.169,1.4110,0.8660
frame4096-hop512,ath-1973,seg_p07_m18b6_m19b5,7,-40.169,0.9613,0.9710
frame4096-hop512,hul-2012,seg_p07_m5,6,27.331,0.7840,0.9000
frame4096-hop512,hul-2012,seg_p07_m8,5,-0.169,1.1788,0.9487
frame4096-hop512,hul-2012,seg_p07_m13,4,-60.169,1.0469,0.8660
frame4096-hop512,hul-2012,seg_p07_m18b6_m19b5,7,-60.169,1.4365,0.8827
frame4096-hop512,bou-1961,seg_p07_m5,5,-540.169,0.7642,1.0000
frame4096-hop512,bou-1961,seg_p07_m8,4,-800.169,0.7389,0.8660
frame4096-hop512,bou-1961,seg_p07_m13,4,-400.169,0.9299,0.8660
frame4096-hop512,bou-1961,seg_p07_m18b6_m19b5,6,-930.169,1.3217,0.8208
frame4096-hop512,bou-1977,seg_p07_m5,6,-15.169,0.9903,1.0000
frame4096-hop512,bou-1977,seg_p07_m8,7,9.831,1.0650,0.9411
frame4096-hop512,bou-1977,seg_p07_m13,4,-60.169,1.1312,0.8660
frame4096-hop512,bou-1977,seg_p07_m18b6_m19b5,7,-30.169,1.0396,0.9710
frame4096-hop512,her-1991,seg_p07_m5,6,-377.669,0.8172,1.0000
frame4096-hop512,her-1991,seg_p07_m8,5,-300.169,0.5486,0.9487
frame4096-hop512,her-1991,seg_p07_m13,4,-340.169,0.8234,0.0000
frame4096-hop512,her-1991,seg_p07_m18b6_m19b5,4,-62.669,1.3781,-0.5000
shift-50ms,ath-1973,seg_p07_m5,6,-52.669,0.7605,0.9000
shift-50ms,ath-1973,seg_p07_m8,7,-0.169,1.1760,0.6983
shift-50ms,ath-1973,seg_p07_m13,4,-5.169,1.4181,0.8660
shift-50ms,ath-1973,seg_p07_m18b6_m19b5,6,-22.669,0.7380,0.7379
shift-50ms,hul-2012,seg_p07_m5,5,19.831,0.7486,0.8000
shift-50ms,hul-2012,seg_p07_m8,5,-0.169,1.1396,0.9487
shift-50ms,hul-2012,seg_p07_m13,4,-60.169,1.0438,0.8660
shift-50ms,hul-2012,seg_p07_m18b6_m19b5,7,-60.169,1.4332,0.8827
shift-50ms,bou-1961,seg_p07_m5,5,-530.169,0.6851,1.0000
shift-50ms,bou-1961,seg_p07_m8,4,-785.169,0.7892,0.8660
shift-50ms,bou-1961,seg_p07_m13,4,-400.169,0.9418,0.8660
shift-50ms,bou-1961,seg_p07_m18b6_m19b5,6,-902.669,1.3134,0.8208
shift-50ms,bou-1977,seg_p07_m5,6,-10.169,0.9901,1.0000
shift-50ms,bou-1977,seg_p07_m8,7,4.831,1.0545,0.9411
shift-50ms,bou-1977,seg_p07_m13,4,-55.169,1.1140,0.8660
shift-50ms,bou-1977,seg_p07_m18b6_m19b5,6,-30.169,1.0180,0.9487
shift-50ms,her-1991,seg_p07_m5,6,-367.669,0.7383,1.0000
shift-50ms,her-1991,seg_p07_m8,5,-290.169,0.5465,0.9487
shift-50ms,her-1991,seg_p07_m13,4,-345.169,0.8117,0.0000
shift-50ms,her-1991,seg_p07_m18b6_m19b5,5,-80.169,1.3394,0.4000
shift-20ms,ath-1973,seg_p07_m5,6,-45.169,0.7712,0.9000
shift-20ms,ath-1973,seg_p07_m8,7,-0.169,1.1660,0.6983
shift-20ms,ath-1973,seg_p07_m13,4,-10.169,1.4211,1.0000
shift-20ms,ath-1973,seg_p07_m18b6_m19b5,6,-45.169,0.9855,0.9487
shift-20ms,hul-2012,seg_p07_m5,5,19.831,0.7348,0.8000
shift-20ms,hul-2012,seg_p07_m8,5,-0.169,1.1396,0.9487
shift-20ms,hul-2012,seg_p07_m13,4,-60.169,1.0403,0.8660
shift-20ms,hul-2012,seg_p07_m18b6_m19b5,7,-60.169,1.4415,0.8827
shift-20ms,bou-1961,seg_p07_m5,5,-535.169,0.7048,1.0000
shift-20ms,bou-1961,seg_p07_m8,4,-792.669,0.7681,0.8660
shift-20ms,bou-1961,seg_p07_m13,4,-400.169,0.9418,0.8660
shift-20ms,bou-1961,seg_p07_m18b6_m19b5,6,-915.169,1.3179,0.8208
shift-20ms,bou-1977,seg_p07_m5,6,-10.169,0.9911,1.0000
shift-20ms,bou-1977,seg_p07_m8,7,4.831,1.0479,0.9411
shift-20ms,bou-1977,seg_p07_m13,4,-57.669,1.1226,0.8660
shift-20ms,bou-1977,seg_p07_m18b6_m19b5,6,-30.169,1.0309,0.9487
shift-20ms,her-1991,seg_p07_m5,6,-375.169,0.7390,1.0000
shift-20ms,her-1991,seg_p07_m8,5,-290.169,0.5465,0.9487
shift-20ms,her-1991,seg_p07_m13,4,-350.169,0.8056,0.0000
