recording_id,segment_id,source,bar_number,note_index,ref_pitch_name,ref_pitch_cent,voiced_ratio,f0_iqr_cent,est_cent_median,error_cent,abs_error_cent,pitch_class_error,is_pyin_unreliable,unreliable_reasons
ath-1973,seg_p07_m18b6_m19b5,demucs_vocals,18,3,C5,7200.0,0.984251968503937,100.0,7169.999999999999,-30.00000000000091,30.00000000000091,within,False,
ath-1973,seg_p07_m18b6_m19b5,demucs_vocals,19,2,B4,7100.0,1.0,54.99999999999818,7130.0,30.0,30.0,within,False,
ath-1973,seg_p07_m18b6_m19b5,demucs_vocals,19,3,G#4,6800.0,0.84375,395.0000000000018,6830.0,30.0,30.0,within,False,
ath-1973,seg_p07_m18b6_m19b5,demucs_vocals,19,4,C5,7200.0,0.9052631578947369,77.49999999999818,7120.0,-80.0,80.0,within,False,
ath-1973,seg_p07_m18b6_m19b5,demucs_vocals,19,5,B4,7100.0,1.0,80.00000000000091,7029.999999999998,-70.00000000000182,70.00000000000182,within,False,
ath-1973,seg_p07_m18b6_m19b5,demucs_vocals,19,6,G#4,6800.0,1.0,255.0,6680.0,-120.0,120.0,within,False,
ath-1973,seg_p07_m18b6_m19b5,demucs_vocals,19,7,C#4,6100.0,0.967741935483871,387.5,6145.0,45.0,45.0,within,False,
hul-2012,seg_p07_m5,original,5,1,F4,6500.0,0.9102564102564102,255.0,6569.999999999999,69.99999999999909,69.99999999999909,within,False,
hul-2012,seg_p07_m5,original,5,2,D4,6200.0,0.8311688311688312,302.5,6309.999999999999,109.99999999999909,109.99999999999909,within,False,
hul-2012,seg_p07_m5,original,5,3,E4,6400.0,1.0,40.00000000000091,6480.000000000001,80.00000000000091,80.00000000000091,within,False,
hul-2012,seg_p07_m5,original,5,4,G#4,6800.0,1.0,19.99999999999909,6820.0,20.0,20.0,within,False,
hul-2012,seg_p07_m5,original,5,5,B4,7100.0,1.0,69.99999999999818,6919.999999999999,-180.0000000000009,180.0000000000009,within,False,
hul-2012,seg_p07_m5,original,5,6,D4,6200.0,0.8571428571428571,659.9999999999982,6230.0,30.0,30.0,within,True,iqr_high
hul-2012,seg_p07_m5,demucs_vocals,5,1,F4,6500.0,0.9743589743589743,280.0,6490.0,-10.0,10.0,within,False,
hul-2012,seg_p07_m5,demucs_vocals,5,2,D4,6200.0,1.0,230.0,6309.999999999999,109.99999999999909,109.99999999999909,within,False,
hul-2012,seg_p07_m5,demucs_vocals,5,3,E4,6400.0,1.0,40.00000000000273,6469.999999999999,69.99999999999909,69.99999999999909,within,False,
hul-2012,seg_p07_m5,demucs_vocals,5,4,G#4,6800.0,1.0,19.99999999999909,6820.0,20.0,20.0,within,False,
hul-2012,seg_p07_m5,demucs_vocals,5,5,B4,7100.0,1.0,105.00000000000091,6919.999999999999,-180.0000000000009,180.0000000000009,within,False,
hul-2012,seg_p07_m5,demucs_vocals,5,6,D4,6200.0,0.974025974025974,689.9999999999991,6249.999999999998,49.99999999999818,49.99999999999818,within,True,iqr_high
hul-2012,seg_p07_m8,original,8,1,C5,7200.0,1.0,69.99999999999909,7164.999999999999,-35.00000000000091,35.00000000000091,within,False,
hul-2012,seg_p07_m8,original,8,2,C#5,7300.0,0.9245283018867925,49.99999999999909,6089.999999999999,-1210.000000000001,1210.000000000001,oct_1,True,pitch_class_oct_1
hul-2012,seg_p07_m8,original,8,3,C5,7200.0,0.9245283018867925,970.0,7190.000000000001,-9.99999999999909,9.99999999999909,within,True,iqr_high
hul-2012,seg_p07_m8,original,8,4,D5,7400.0,1.0,30.00000000000091,7390.000000000001,-9.99999999999909,9.99999999999909,within,False,
hul-2012,seg_p07_m8,original,8,5,C#5,7300.0,1.0,175.0000000000009,7230.000000000001,-69.99999999999909,69.99999999999909,within,False,
